person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
21.0,9600.0,OWN,5.0,EDUCATION,B,1000.0,11.14,0,0.1,N,2.0
21.0,9900.0,OWN,2.0,VENTURE,A,2500.0,7.14,1,0.25,N,2.0
21.0,10000.0,OWN,6.0,VENTURE,D,1600.0,14.74,1,0.16,N,3.0
24.0,10800.0,MORTGAGE,8.0,EDUCATION,B,1750.0,10.99,1,0.16,N,2.0
24.0,10980.0,OWN,0.0,PERSONAL,A,1500.0,7.29,0,0.14,N,3.0
23.0,11000.0,OWN,0.0,PERSONAL,A,1400.0,9.32,0,0.13,N,3.0
21.0,11389.0,OTHER,5.0,EDUCATION,C,4000.0,12.84,1,0.35,Y,2.0
21.0,11520.0,OWN,5.0,MEDICAL,B,2000.0,11.12,1,0.17,N,3.0
21.0,12000.0,OWN,5.0,EDUCATION,A,2500.0,7.51,1,0.21,N,4.0
24.0,12000.0,OWN,4.0,VENTURE,B,2500.0,12.69,1,0.21,N,3.0
24.0,12000.0,OWN,2.0,VENTURE,E,1750.0,10.99,0,0.15,Y,3.0
22.0,12000.0,MORTGAGE,7.0,EDUCATION,D,1500.0,14.84,0,0.13,Y,3.0
25.0,12000.0,OWN,0.0,MEDICAL,C,3000.0,10.99,1,0.25,N,3.0
21.0,12000.0,OWN,6.0,EDUCATION,C,3000.0,13.61,1,0.25,Y,3.0
21.0,12000.0,OWN,0.0,PERSONAL,C,4200.0,13.48,1,0.35,Y,4.0
22.0,12000.0,OWN,6.0,DEBTCONSOLIDATION,A,4750.0,7.14,1,0.39,N,2.0
26.0,12000.0,OWN,0.0,DEBTCONSOLIDATION,A,2700.0,10.99,1,0.23,N,4.0
21.0,12000.0,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250.0,15.68,1,0.27,Y,3.0
24.0,12360.0,OWN,2.0,MEDICAL,C,1600.0,13.57,0,0.13,N,3.0
25.0,12600.0,OWN,3.0,PERSONAL,C,1750.0,13.61,0,0.14,N,3.0
25.0,12816.0,OWN,0.0,DEBTCONSOLIDATION,C,3000.0,12.87,1,0.23,Y,4.0
24.0,12960.0,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650.0,9.91,1,0.28,N,3.0
24.0,12960.0,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500.0,11.83,1,0.35,N,4.0
23.0,12996.0,OWN,0.0,DEBTCONSOLIDATION,C,2400.0,13.49,1,0.18,Y,2.0
25.0,12996.0,OWN,1.0,MEDICAL,D,3600.0,14.59,1,0.28,N,3.0
22.0,12996.0,OWN,1.0,EDUCATION,B,4750.0,10.99,1,0.37,N,3.0
23.0,13200.0,OWN,3.0,DEBTCONSOLIDATION,A,4950.0,7.9,1,0.38,N,4.0
23.0,13200.0,MORTGAGE,2.0,EDUCATION,B,1400.0,9.25,0,0.11,N,4.0
21.0,13200.0,OWN,0.0,VENTURE,C,4500.0,12.98,1,0.34,N,4.0
23.0,14000.0,OWN,2.0,DEBTCONSOLIDATION,D,4000.0,10.99,1,0.29,N,3.0
21.0,14400.0,OWN,0.0,HOMEIMPROVEMENT,B,3000.0,10.99,1,0.21,N,4.0
22.0,14400.0,OWN,2.0,MEDICAL,B,4000.0,10.99,1,0.28,N,3.0
25.0,14400.0,OWN,7.0,EDUCATION,A,5375.0,5.79,1,0.37,N,2.0
21.0,14400.0,MORTGAGE,0.0,MEDICAL,C,1500.0,10.99,0,0.1,N,4.0
23.0,14400.0,OWN,2.0,HOMEIMPROVEMENT,E,4000.0,16.7,1,0.28,N,2.0
22.0,14400.0,OWN,0.0,PERSONAL,B,2100.0,11.14,0,0.15,N,4.0
23.0,14664.0,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000.0,10.99,1,0.39,N,4.0
21.0,15000.0,OWN,0.0,HOMEIMPROVEMENT,A,6200.0,7.9,1,0.39,N,2.0
23.0,15000.0,OWN,7.0,MEDICAL,B,4475.0,10.99,1,0.3,N,4.0
23.0,15000.0,MORTGAGE,1.0,MEDICAL,C,1750.0,12.68,0,0.12,Y,3.0
23.0,15000.0,OWN,4.0,DEBTCONSOLIDATION,C,4000.0,13.98,1,0.27,N,4.0
23.0,15000.0,OWN,4.0,VENTURE,B,4600.0,10.99,1,0.31,N,2.0
25.0,15000.0,OWN,2.0,HOMEIMPROVEMENT,D,1750.0,15.31,0,0.12,Y,4.0
23.0,15000.0,MORTGAGE,0.0,PERSONAL,C,3600.0,13.47,1,0.24,N,4.0
21.0,15000.0,OWN,0.0,HOMEIMPROVEMENT,C,3175.0,11.54,1,0.21,Y,3.0
21.0,15120.0,MORTGAGE,0.0,EDUCATION,B,1500.0,10.59,0,0.1,N,2.0
23.0,15204.0,MORTGAGE,7.0,PERSONAL,A,2800.0,8.49,1,0.18,N,3.0
22.0,15360.0,OWN,7.0,HOMEIMPROVEMENT,B,2500.0,12.53,1,0.16,N,3.0
25.0,127400.0,RENT,3.0,MEDICAL,D,5000.0,16.49,1,0.03,N,2.0
21.0,15600.0,OWN,5.0,VENTURE,A,1000.0,7.29,0,0.06,N,4.0
24.0,15600.0,OWN,5.0,HOMEIMPROVEMENT,A,3300.0,6.39,1,0.21,N,4.0
25.0,15600.0,OWN,0.0,VENTURE,F,3200.0,18.09,1,0.21,N,2.0
23.0,16000.0,OWN,7.0,MEDICAL,A,6000.0,7.9,1,0.38,N,2.0
23.0,16000.0,MORTGAGE,3.0,DEBTCONSOLIDATION,C,2275.0,13.06,0,0.14,Y,4.0
23.0,16000.0,OWN,7.0,PERSONAL,A,2000.0,6.39,0,0.13,N,3.0
23.0,16000.0,MORTGAGE,1.0,MEDICAL,C,5600.0,12.84,1,0.35,N,4.0
24.0,16020.0,OWN,3.0,VENTURE,E,3625.0,17.14,1,0.23,Y,2.0
22.0,16094.0,MORTGAGE,2.0,VENTURE,A,5500.0,7.14,1,0.34,N,3.0
22.0,16200.0,OWN,6.0,PERSONAL,B,2000.0,12.42,0,0.12,N,3.0
25.0,16400.0,OWN,1.0,PERSONAL,A,5000.0,8.94,1,0.3,N,4.0
23.0,16500.0,OWN,6.0,VENTURE,B,4375.0,9.63,1,0.27,N,4.0
22.0,16800.0,MORTGAGE,5.0,EDUCATION,B,2000.0,10.65,0,0.12,N,2.0
25.0,125800.0,MORTGAGE,0.0,MEDICAL,D,10000.0,14.09,1,0.07,N,4.0
22.0,16800.0,MORTGAGE,0.0,HOMEIMPROVEMENT,C,4750.0,13.85,1,0.28,Y,2.0
21.0,16800.0,MORTGAGE,0.0,VENTURE,B,6000.0,10.39,1,0.36,N,4.0
22.0,17400.0,MORTGAGE,6.0,VENTURE,B,1000.0,11.36,0,0.06,N,2.0
22.0,17760.0,MORTGAGE,6.0,EDUCATION,C,4975.0,10.99,1,0.28,Y,3.0
22.0,18000.0,OWN,3.0,PERSONAL,A,3000.0,7.9,1,0.17,N,4.0
22.0,18000.0,OWN,1.0,HOMEIMPROVEMENT,A,3500.0,7.49,1,0.19,N,4.0
23.0,18000.0,OWN,3.0,EDUCATION,A,4000.0,5.99,1,0.22,N,2.0
